번호,책제목,작가,출판사
126,소곤소곤 꽃이 들려주는 동화,최은규,문공사
127,여보세요 거기 북한이죠?,통일정보신문사,문공사
128,창의력이 커지는 생각,홍서여,문공사
129,은행나무 마을의 주먹코 아저씨,윤수천,문원
130,한 쪽 눈만 떠봐요,최향,문원
131,비를 내리게 한 두꺼비,황미라,문학 아카데미
132,샤를마뉴 대왕의 위대한 보물,나디아 웨트리,문학과 지성사
133,"야곱, 너는 특별해",가르리엘레 하이저,문학과 지성사
134,난 황금알을 낳을 꺼야!,한나 요하젠,문학동네
135,도올이의 지혜,김동규,문학동네
136,시간이 뭐예요?,파스칼 에스텔룽,문학동네
137,맞춤법이랑놀자,정태선,미래M&B
138,2X2=으악! 곱셈놀이,로렌 리디,미래아이
139,배꼽 빠지게 웃기고 재미난 똥 이야기,박혜숙,미래아이
140,초롱이와 함께 지도 만들기,로렌 리디,미래아이
141,피노키오의 모험,카를로 콜로디,미래아이
142,집은 다 다르고 특별해!,엠마 데이먼,미세기
143,공기와 꿈-운동에 관한 상상력,가스통 바슐라르,미학사
144,속담풀이,,민중
145,어느 나그네쥐 이야기,데이비드 허친스,바다어린이
146,사슴의 뿔 자랑-아기손 그림동화이솝이야기,편집부,바른사
147,엄마를 위하여,와이,박물관
148,바구니 달,메리 린레이,베틀북
149,"여덟 살, 혼자 떠나는 여행",우니엔쩐,베틀북
150,파란 시간을 아세요,안 에르보,베틀북
151,프로코피예프의 피터와 늑대,세르게이 프로코피예프,베틀북
152,서울 방귀쟁이 시골 방귀쟁이,임정자,별숲
153,글쓰기 어떻게,이오덕,보리
154,나는 잠만 잔 걸,심조원,보리
155,달걀 한 개,박선미,보리
156,딱지 따먹기,백창우,보리
157,모두가 기른 벼,김용란,보리
158,어린이식물도감,전의식,보리
159,호랑이 뱃속 구경,서정오,보리
160,개구리네 한솥밥,백석,보림
161,꼬마과학자,수테르페로,보림
162,단군신화,이형구,보림
163,반쪽이,이미애,보림
164,숨쉬는 항아리,정병락,보림
165,연아 연아 올라라,김명자,보림
166,우리 할아버지가 꼭 나만 했을 때,주경호,보림
167,쪽빛을 찾아서,유애로,보림
168,해와 달이 된 오누이,이규희,보림
169,호랑이를 잡은피리,강무홍,보림
